Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.6325     671.75162425],[ 0.49238577 44.97682858],[  7.         553.46853721],[  9.         779.06427623],"[1, 6, 9, 5, 3, 10, 17, 13, 20, 15, 18, 4, 16, 19, 2, 14, 11, 12, 24, 22, 21, 8, 25, 7, 23]","(7.0, 553.4685372122192)"
1,330,[  7.3675     624.73958982],[ 0.48212421 26.5826791 ],[  7.         553.46853721],[  8.         661.92754184],"[1, 6, 9, 5, 3, 10, 17, 13, 20, 15, 18, 4, 16, 19, 2, 14, 11, 12, 24, 22, 21, 8, 25, 7, 23]","(7.0, 553.4685372122192)"
2,342,[  7.2775     598.84212305],[ 0.44776528 20.02799811],[  7.         543.60409353],[  8.         627.95470542],"[20, 21, 2, 9, 6, 10, 11, 18, 13, 17, 14, 4, 22, 3, 25, 19, 16, 8, 15, 12, 24, 7, 1, 5, 23]","(7.0, 543.6040935293959)"
3,338,[  7.155      579.51948489],[ 0.36190468 13.4774252 ],[  7.         535.81062952],[  8.         597.23267902],"[18, 17, 8, 1, 13, 22, 3, 23, 20, 25, 16, 14, 11, 10, 12, 15, 19, 9, 24, 7, 6, 21, 5, 4, 2]","(7.0, 535.810629520754)"
4,344,[  7.085     566.6126235],[0.2788817  9.68247927],[  7.       527.317564],[  8.         581.80704502],"[1, 6, 9, 5, 3, 10, 17, 13, 7, 15, 18, 4, 16, 19, 2, 14, 11, 12, 24, 22, 21, 8, 25, 20, 23]","(7.0, 527.31756400239)"
5,352,[  7.0975     556.90066658],[0.2966374  8.42615007],[  7.         522.43722808],[  8.         568.47732252],"[20, 8, 1, 14, 18, 12, 15, 11, 3, 7, 6, 5, 23, 19, 17, 2, 4, 10, 9, 22, 21, 24, 16, 13, 25]","(7.0, 522.4372280757755)"
6,344,[  7.045      549.08424261],[0.20730412 7.67848616],[  7.         517.42102626],[  8.         557.50870728],"[1, 6, 9, 5, 3, 10, 17, 13, 20, 15, 18, 4, 16, 19, 2, 14, 12, 11, 24, 22, 21, 8, 25, 7, 23]","(7.0, 517.4210262591998)"
7,348,[  7.05       542.15418192],[0.21794495 8.53788583],[  7.         492.87818047],[  8.         552.47818035],"[5, 6, 9, 1, 3, 10, 17, 13, 7, 15, 18, 4, 16, 19, 2, 11, 12, 14, 24, 22, 21, 8, 25, 20, 23]","(7.0, 492.8781804657906)"
8,342,[  7.0325     534.49701597],[0.17732386 9.34933487],[  7.         492.87818047],[  8.         543.60409353],"[5, 6, 9, 1, 3, 10, 17, 13, 7, 15, 18, 4, 16, 19, 2, 11, 12, 14, 24, 22, 21, 8, 25, 20, 23]","(7.0, 492.8781804657906)"
9,328,[  7.035      525.42230372],[0.18377976 8.17560647],[  7.         492.11740544],[  8.         535.81062952],"[1, 6, 3, 5, 9, 10, 17, 13, 8, 15, 18, 4, 16, 19, 2, 14, 12, 11, 24, 22, 21, 20, 25, 7, 23]","(7.0, 492.1174054369253)"
10,346,[  7.02       518.97002602],[0.14       8.78670055],[  7.         487.54360941],[  8.         526.62442163],"[5, 6, 7, 1, 3, 10, 17, 13, 9, 15, 18, 4, 16, 19, 2, 11, 12, 14, 24, 22, 21, 8, 25, 20, 23]","(7.0, 487.54360941270363)"
11,336,[  7.04       511.37453023],[ 0.19595918 10.63534042],[  7.         467.71072017],[  8.        521.7558416],"[20, 21, 2, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 19, 16, 18, 15, 12, 3, 7, 1, 5, 23]","(7.0, 467.71072017421864)"
12,334,[  7.05      501.3113071],[0.21794495 9.44683402],[  7.         467.71072017],[  8.         514.84600517],"[20, 21, 2, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 19, 16, 18, 15, 12, 3, 7, 1, 5, 23]","(7.0, 467.71072017421864)"
13,344,[  7.         492.41860457],[0.         4.76755002],[  7.         467.71072017],[  7.         500.09257798],"[20, 21, 2, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 19, 16, 18, 15, 12, 3, 7, 1, 5, 23]","(7.0, 467.71072017421864)"
14,334,[  7.         489.65508105],[0.         5.37073504],[  7.         467.71072017],[  7.         492.87818047],"[20, 21, 2, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 19, 16, 18, 15, 12, 3, 7, 1, 5, 23]","(7.0, 467.71072017421864)"
15,336,[  7.         486.11883218],[0.         6.62587093],[  7.         467.71072017],[  7.        492.0597775],"[20, 21, 2, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 19, 16, 18, 15, 12, 3, 7, 1, 5, 23]","(7.0, 467.71072017421864)"
16,358,[  7.         481.52042974],[0.         7.73993346],[  7.         460.18712096],[  7.         487.54360941],"[20, 21, 7, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 19, 16, 18, 15, 12, 3, 2, 1, 5, 23]","(7.0, 460.18712095653734)"
17,344,[  7.         474.83969559],[0.         7.48211179],[  7.         460.18712096],[  7.         484.51442224],"[20, 21, 7, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 19, 16, 18, 15, 12, 3, 2, 1, 5, 23]","(7.0, 460.18712095653734)"
18,340,[  7.         467.47169173],[0.         1.56189574],[  7.         458.64828502],[  7.        471.9942296],"[20, 21, 2, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 15, 19, 18, 16, 12, 3, 7, 1, 5, 23]","(7.0, 458.6482850249483)"
19,354,[  7.         466.74785711],[0.         2.12460441],[  7.         456.16059894],[  7.         467.71072017],"[20, 21, 2, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 19, 16, 18, 15, 12, 23, 7, 1, 5, 3]","(7.0, 456.1605989355321)"
20,350,[  7.         465.27878188],[0.         2.99053891],[  7.         453.51271995],[  7.         467.71072017],"[20, 21, 10, 9, 6, 7, 11, 8, 13, 17, 14, 4, 22, 24, 25, 19, 16, 18, 15, 12, 3, 2, 1, 5, 23]","(7.0, 453.512719950029)"
21,338,[  7.         462.53285085],[0.         2.82718595],[  7.         451.12468581],[  7.         466.59362299],"[20, 21, 7, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 15, 19, 18, 16, 12, 3, 2, 1, 5, 23]","(7.0, 451.1246858072669)"
22,332,[  7.         460.01292357],[0.         1.97407099],[  7.         451.12468581],[  7.         462.53996532],"[20, 21, 7, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 15, 19, 18, 16, 12, 3, 2, 1, 5, 23]","(7.0, 451.1246858072669)"
23,340,[  7.       458.315501],[0.         2.07097759],[  7.         448.53493059],[  7.         460.18712096],"[20, 21, 2, 1, 6, 8, 11, 10, 13, 17, 14, 4, 22, 24, 25, 15, 19, 18, 16, 12, 3, 7, 9, 5, 23]","(7.0, 448.53493059377433)"
24,336,[  7.         456.76032962],[0.         2.28418484],[  7.         448.53493059],[  7.         459.06131654],"[20, 21, 2, 1, 6, 8, 11, 10, 13, 17, 14, 4, 22, 24, 25, 15, 19, 18, 16, 12, 3, 7, 9, 5, 23]","(7.0, 448.53493059377433)"
25,330,[  7.         454.71639269],[0.         1.92360398],[  7.         446.40787954],[  7.         457.56873657],"[20, 21, 2, 9, 6, 10, 11, 8, 13, 17, 14, 4, 22, 24, 25, 19, 16, 12, 15, 18, 23, 7, 1, 5, 3]","(7.0, 446.40787953841584)"
